Count_of_Loans,Count_of_Late_Payments,Count_of_Loan_Enquiries,Existing_Loan_Balance,Credit_History_Length_Years,Defaulter
3,4,2,582019.54,5,0
2,6,7,740211.26,23,1
8,2,3,1308956.67,11,1
10,4,3,785878.44,8,1
1,2,3,552001.77,23,0
8,3,4,1241866.91,10,1
7,1,3,934775.34,16,0
7,1,6,489914.73,19,1
3,0,2,1682575.35,7,1
1,3,1,712367.82,10,1
4,4,1,1429316.78,18,1
9,0,3,1056280.51,5,1
5,0,3,143621.47,2,1
1,1,3,50000.0,20,0
5,3,2,1803144.04,8,1
8,1,3,965387.1,7,1
8,2,3,652383.13,14,1
5,5,2,896932.82,18,1
9,2,4,927753.82,23,1
1,2,4,403991.64,18,0
4,4,3,436307.09,5,1
3,2,2,1025348.45,14,1
2,4,4,50000.0,21,1
8,3,4,1065113.31,22,1
7,2,3,689368.96,10,1
9,7,2,1055356.12,16,1
2,1,3,839850.84,18,0
4,4,4,469714.26,15,1
6,1,5,985534.2,9,1
3,3,3,1223584.39,20,0
8,0,2,799979.81,16,1
3,2,4,163889.47,10,0
2,1,4,552745.04,25,0
3,8,4,878951.63,21,1
6,2,1,1065414.54,14,1
2,1,0,506025.23,1,1
8,5,3,1051424.59,8,1
1,3,2,1571274.53,5,1
7,1,4,402181.74,13,0
2,0,5,1133932.24,1,1
10,3,2,1302084.28,23,1
6,4,3,1131827.54,21,1
2,2,2,1400880.48,7,1
2,2,3,882157.79,7,1
10,4,5,251607.78,20,0
8,3,4,661696.66,1,1
2,5,0,187718.29,16,0
7,6,4,724435.4,5,1
3,1,6,533589.82,24,0
8,3,6,1295174.94,13,1
7,1,5,672278.45,2,1
8,2,4,866469.0,20,0
7,2,0,1284781.33,19,0
6,3,5,113628.65,21,0
7,2,2,1523815.67,8,1
5,1,2,798796.71,11,1
7,2,3,682739.06,3,1
1,1,3,581133.71,19,0
1,3,3,604461.68,8,1
9,1,0,1349513.68,8,1
5,1,5,715763.53,19,0
5,6,2,764319.2,20,1
3,5,2,592417.28,4,1
5,1,4,890325.64,4,1
3,2,0,566703.35,25,0
9,2,3,534482.24,1,1
9,5,4,871276.44,14,1
6,3,3,1047495.46,7,1
1,3,5,50000.0,16,1
7,4,4,842560.28,19,1
7,1,6,707519.83,25,1
10,4,2,853851.71,12,1
10,4,4,1221705.08,24,0
4,2,3,1219133.1,8,1
8,2,3,1385351.75,5,1
6,1,3,734634.13,12,0
4,2,5,639031.22,4,1
4,2,3,975083.83,14,0
2,5,8,1009934.76,19,1
2,2,6,912538.96,12,1
4,3,2,50000.0,10,0
5,5,2,549353.13,16,0
8,4,6,1141914.34,15,1
6,2,3,1191504.33,11,1
4,5,2,987349.07,11,1
7,1,2,846726.11,16,0
8,1,3,486715.17,1,0
2,0,2,879715.31,5,1
7,4,3,1017609.73,8,1
2,3,3,1380309.98,12,0
2,4,2,367479.42,13,1
8,3,5,1153181.94,9,1
2,0,5,1355782.29,11,1
9,5,2,538203.72,25,1
1,0,5,961765.9,25,0
9,6,3,50000.0,12,1
1,3,0,963025.47,16,0
10,4,4,957421.47,10,1
10,1,5,515533.24,25,0
2,1,1,676062.76,6,1
6,2,3,1258991.23,8,1
6,7,2,551122.36,1,1
1,3,4,1021547.81,14,1
7,4,1,50000.0,20,0
8,3,5,503083.07,14,0
2,4,1,1294905.26,14,1
8,1,6,979751.03,17,0
9,2,3,1242834.86,15,1
6,3,5,753482.34,21,1
5,0,1,468442.1,23,0
9,3,2,1165170.05,25,0
9,6,1,1271804.4,16,1
1,3,2,844199.16,20,1
3,1,2,1081660.84,17,0
9,1,2,1022415.84,10,0
2,4,5,1132209.05,21,1
4,2,1,512986.99,16,1
4,1,6,996378.55,16,1
2,0,4,759752.22,14,0
3,1,2,1179848.63,9,1
3,1,3,767346.47,17,0
1,2,2,1007510.39,9,1
6,4,2,878108.73,19,1
8,1,3,192161.69,12,1
3,3,4,952345.08,9,1
5,3,1,294652.15,18,0
1,4,2,1116169.96,2,1
10,3,1,1101629.36,5,1
7,2,2,523227.12,2,1
10,2,1,337632.84,22,0
1,4,7,688327.67,2,1
9,2,3,793887.12,2,1
8,4,4,869456.88,19,1
7,1,3,50000.0,25,0
10,3,2,670250.05,21,0
7,2,1,1016505.83,13,1
5,3,5,131117.9,12,1
5,3,3,790192.32,20,0
5,6,2,979482.51,13,1
1,1,5,612148.54,13,0
8,2,4,833536.66,25,0
1,4,3,558884.79,4,1
4,3,2,972203.04,15,0
9,3,2,1009823.47,1,1
9,2,2,756034.62,25,0
5,5,2,61693.46,22,0
4,1,5,419718.57,22,1
3,3,3,1359634.39,8,1
3,1,3,50000.0,13,0
5,1,2,1244281.17,3,1
10,3,2,670333.03,15,1
1,3,3,981632.75,13,1
5,5,2,816787.09,15,1
6,3,1,873344.39,24,1
7,1,1,947686.98,12,0
9,4,5,830679.46,17,1
3,1,6,763070.1,24,0
2,6,1,1778333.79,15,1
3,0,6,749835.69,8,1
9,1,4,916804.61,25,1
7,6,0,948008.6,8,1
9,2,3,735002.16,19,1
2,2,5,579203.95,7,1
5,2,4,770292.77,24,1
4,3,2,897012.68,9,0
2,1,4,1049218.1,2,1
9,1,4,1133218.38,15,0
9,1,2,189743.42,10,0
6,0,3,704290.71,14,1
6,1,4,370321.74,14,1
8,2,1,383912.06,15,0
6,1,4,230740.69,2,1
1,3,4,1355920.92,3,1
4,0,2,639581.77,17,0
7,7,5,1097877.47,11,1
2,2,2,1227786.07,22,0
9,2,2,82149.44,9,1
8,2,5,899356.54,17,1
8,2,2,50000.0,13,1
7,2,0,1431502.3,19,1
4,3,2,861689.79,10,1
2,2,2,1052953.39,12,0
3,5,6,770002.86,6,1
6,3,2,683174.77,13,0
5,2,3,537939.45,1,1
8,2,8,1031451.51,3,1
6,1,5,1393734.22,19,0
6,3,3,873809.23,18,1
1,2,2,711547.41,5,1
4,2,0,1163989.77,24,0
5,5,3,1511448.03,3,1
3,0,5,986611.63,6,0
9,2,3,50000.0,4,1
1,3,2,387723.24,8,0
6,2,1,165685.24,20,1
6,3,6,826174.33,18,1
10,3,6,91196.57,10,1
5,3,6,760282.87,18,1
5,1,3,1376195.54,12,0
10,0,2,671765.05,2,1
5,1,1,248156.19,25,0
6,0,1,781490.85,1,1
8,3,3,653328.06,25,1
2,3,4,219643.64,18,1
6,2,2,455117.39,7,1
1,1,5,872222.55,2,1
4,2,5,977131.83,5,1
10,2,3,772694.25,10,1
3,0,2,1140222.32,10,1
9,1,4,1061833.28,4,1
3,4,3,809398.29,21,1
6,2,1,604559.46,3,1
1,3,4,782395.55,6,1
6,1,1,343904.11,10,0
4,1,0,1019211.32,16,0
8,1,1,533069.23,20,0
9,3,2,614325.35,25,0
4,0,4,507870.58,2,0
10,2,3,676103.4,21,1
10,1,1,208233.78,25,1
6,2,5,408319.76,10,1
1,2,3,1065280.56,9,1
4,4,2,1376915.3,15,1
7,3,2,759144.15,24,0
1,4,4,1599557.39,5,1
8,0,5,641245.12,6,1
10,3,7,1183152.79,5,1
6,2,6,464363.42,13,1
5,3,5,718741.0,12,1
10,3,0,803673.23,13,1
9,2,3,115909.94,18,1
2,0,3,1251600.34,14,1
5,4,6,915396.45,6,1
6,2,2,748240.58,5,1
7,6,2,407417.57,22,1
5,1,2,645440.86,5,0
9,2,5,1010153.45,2,1
1,1,5,871353.44,17,0
7,2,4,258722.09,19,1
10,4,5,928258.57,12,1
7,5,6,1041163.48,4,1
4,1,4,553741.29,25,0
9,6,3,1096356.33,22,1
5,6,0,993956.33,20,1
4,3,4,50000.0,22,0
7,2,4,1331266.89,18,1
4,5,1,521295.85,18,1
3,2,5,1202638.41,6,1
9,2,2,180487.24,10,0
8,4,2,1039478.44,21,1
1,2,1,1336109.99,4,1
7,1,4,123988.17,9,1
9,4,0,1304933.62,22,0
8,3,4,50000.0,22,0
8,6,3,957924.41,2,1
6,2,5,570398.93,24,0
4,1,3,274947.9,15,1
8,1,3,376959.91,19,0
3,1,2,680332.99,6,1
9,5,2,1705968.02,14,1
2,3,2,724241.49,25,0
2,4,0,830081.54,16,0
7,6,3,417244.39,17,0
10,1,3,212845.84,19,1
4,2,3,591412.1,8,1
10,3,5,1403896.85,2,1
8,3,2,312648.39,6,0
9,2,1,1775811.86,2,1
7,1,1,588122.63,24,0
5,3,1,1454749.47,20,0
8,2,2,1121547.54,5,1
4,2,5,878786.05,17,1
2,2,3,1022610.19,15,0
6,2,8,735265.0,4,1
9,2,2,303506.83,9,1
1,3,5,668802.41,7,1
10,6,5,688295.77,25,0
7,2,1,532496.14,5,1
10,4,0,989746.97,13,1
9,2,6,848195.28,1,1
10,2,3,1403950.32,4,1
9,1,1,1208614.02,6,1
10,2,3,716740.9,5,1
3,4,5,737360.0,14,0
5,2,5,888057.61,11,1
8,3,3,979054.98,24,1
8,2,1,1307121.01,17,0
4,4,1,157299.92,1,1
1,4,2,790856.59,10,0
1,2,6,902390.46,10,1
4,0,4,881232.09,13,1
6,2,4,428265.81,22,0
8,4,3,1181378.29,2,1
6,4,3,784742.94,20,0
9,0,3,488508.13,2,1
9,0,1,457449.25,20,1
2,1,3,296907.15,9,1
10,3,4,364016.57,1,1
1,4,3,543688.74,18,0
2,0,2,743351.36,3,1
5,3,1,243851.85,4,1
4,9,2,1105209.18,24,0
4,1,4,91715.84,25,0
9,0,3,594035.86,2,0
8,1,1,776205.54,3,1
6,3,5,751579.35,22,1
1,6,3,1460749.04,18,1
2,2,2,975661.74,19,0
6,4,4,266294.53,10,1
2,5,5,872924.39,23,1
10,3,0,269673.53,11,1
5,4,4,1282119.02,16,0
5,2,1,50000.0,20,0
6,1,7,585222.59,5,1
6,1,2,834538.17,12,0
6,2,3,239308.12,12,1
2,1,3,1184091.07,21,0
10,2,2,1265406.62,16,1
3,1,3,527093.74,14,1
6,3,5,590088.25,20,1
8,2,4,386502.89,22,0
1,2,3,974206.71,12,0
1,4,2,673691.44,19,0
2,3,4,266541.72,13,1
6,5,6,1578513.97,25,1
9,5,2,1438394.55,23,1
4,2,4,1567012.14,5,1
3,3,6,122204.25,22,0
8,4,6,1207524.9,23,1
10,0,1,903857.17,13,1
9,1,4,942818.44,6,1
5,4,4,233979.05,6,1
9,5,2,373124.8,17,1
2,1,3,518582.82,1,1
3,4,2,778707.55,6,1
7,2,1,638995.22,25,1
7,7,1,763230.42,10,1
6,3,2,590253.18,13,1
6,2,1,430452.86,11,1
2,3,1,874163.96,9,1
10,2,1,822451.01,18,1
6,2,1,797676.33,17,1
4,1,3,1122701.86,23,1
3,3,0,703094.36,5,1
2,2,4,822679.17,21,1
1,0,2,823522.82,16,0
5,3,5,50000.0,2,1
2,0,2,1115445.72,13,1
2,1,4,551872.98,9,1
7,4,3,1001313.28,4,1
8,3,3,847197.85,19,1
10,3,4,469123.7,4,1
8,2,0,988543.31,19,1
4,4,1,316555.15,23,0
1,0,1,831512.87,6,1
7,1,3,638231.89,9,1
1,3,4,1144685.24,21,0
4,1,3,1220494.39,13,1
8,6,1,729049.33,8,1
2,4,1,684397.68,7,1
6,5,3,122066.31,25,1
6,4,3,570878.07,19,1
9,3,2,669125.23,18,0
5,2,4,544500.93,21,1
10,2,1,977280.23,11,0
4,3,1,753494.71,23,0
5,0,4,978518.79,16,0
10,3,4,192227.75,13,0
5,3,3,863873.95,20,0
8,2,3,614062.72,5,1
10,3,2,1044631.09,24,0
8,1,3,1011243.47,18,0
2,4,4,790957.5,25,1
7,1,6,977389.42,23,1
8,1,2,50000.0,14,0
6,2,5,1177632.36,12,1
5,2,6,1142788.33,5,1
9,1,1,1327680.14,12,1
3,5,1,243800.42,1,1
10,4,2,441320.41,17,1
4,3,4,326336.07,1,1
9,4,1,1161033.64,17,1
6,3,7,661234.43,17,1
8,1,2,867827.28,3,1
7,4,6,931146.32,3,1
2,2,4,1035124.28,4,1
3,2,5,434887.12,21,1
1,2,3,549289.29,3,1
9,7,0,628600.78,23,1
7,3,2,1171666.77,9,1
1,2,6,809672.99,6,1
3,0,5,1375743.26,21,0
4,3,3,273438.87,8,1
4,2,3,1055493.86,4,1
5,2,0,983641.16,17,0
3,4,3,802309.12,8,1
3,0,5,564013.66,23,0
1,1,1,677711.29,9,0
7,2,3,1035277.39,10,1
10,4,2,720795.78,22,0
1,2,3,537564.13,21,0
2,1,2,1094235.9,2,1
4,5,4,843234.23,4,1
4,3,0,1472592.02,14,1
5,1,1,639304.35,4,1
2,2,4,1197872.22,22,0
4,3,1,866530.81,15,1
1,2,8,1110192.09,1,1
2,2,0,601885.84,7,1
1,1,3,561949.89,20,0
10,0,2,1341489.83,23,0
10,5,4,932688.31,23,0
4,2,5,807581.92,13,1
4,2,3,274987.77,1,1
7,2,6,579909.61,8,1
10,1,2,416761.08,19,1
9,6,2,1010511.35,2,1
9,8,5,925288.11,6,1
5,2,1,976938.27,24,0
10,3,2,1035447.1,5,1
1,3,6,1024234.18,1,1
1,2,1,1299313.39,5,1
6,3,6,777730.95,7,1
2,1,3,923230.84,1,1
8,2,3,938874.22,13,1
9,4,0,1073292.79,19,0
4,4,1,1017270.17,7,1
5,3,1,820921.2,18,0
8,2,3,389830.37,14,1
3,0,1,538236.77,24,0
5,4,2,763720.56,22,1
3,1,1,807353.36,21,1
10,2,5,907014.89,21,1
3,1,5,696774.1,16,1
3,3,9,1284881.08,13,1
7,3,1,873495.64,15,1
7,3,1,50000.0,9,0
7,1,1,677166.03,9,1
10,2,0,661173.45,21,1
8,1,3,922890.79,20,0
5,2,1,810984.1,20,0
5,2,0,882240.01,16,1
4,1,3,1305794.84,8,1
7,4,2,925424.35,21,1
10,1,3,2139419.25,23,0
4,3,3,1178282.82,21,1
2,0,5,790062.67,15,1
4,2,3,978968.08,21,0
8,4,4,1652065.15,19,1
9,2,1,182032.01,25,0
3,1,3,1181537.38,20,0
7,0,4,1310628.03,23,0
9,5,2,480094.89,24,0
4,2,3,584621.94,16,1
10,1,3,609265.51,9,1
3,3,2,1479502.12,5,1
5,3,4,853281.36,7,1
1,3,6,501623.04,23,1
3,2,2,119985.14,14,0
8,1,2,1192742.04,20,0
8,4,3,850128.79,17,1
4,3,2,1202533.39,7,1
2,2,5,942994.68,17,1
8,4,3,1347000.16,10,1
8,1,3,92639.23,8,1
10,4,4,1066751.03,6,1
4,1,6,897037.91,22,1
3,2,2,645402.23,2,1
2,0,4,934108.62,25,0
9,1,3,648723.8,20,0
1,2,5,858208.81,20,0
7,3,2,387434.53,9,0
5,3,1,1022287.43,19,1
8,6,4,1079786.65,3,1
4,2,6,1204092.77,1,1
7,5,1,284320.16,8,1
5,0,2,248222.77,6,0
5,3,3,378286.3,25,1
9,1,1,1379644.75,13,1
9,1,0,745427.91,24,0
9,3,1,940030.4,22,1
6,0,3,1156587.58,14,1
6,5,3,481427.28,16,0
5,2,2,859064.25,11,1
9,2,2,428208.5,18,1
10,2,2,204134.17,12,1
8,6,1,1183075.87,4,1
7,5,2,757057.76,20,1
7,0,3,1030738.51,5,1
6,0,2,1182970.0,7,1
5,1,4,343197.01,8,1
4,3,2,580727.76,14,1
3,2,1,1463814.13,19,1
3,2,4,986387.04,1,1
6,2,0,349420.09,2,1
4,0,3,480958.01,13,0
6,3,2,511059.11,7,1
3,4,5,898922.97,9,1
4,1,3,815854.77,20,0
9,3,6,1180941.98,17,0
5,3,3,1036586.91,22,0
7,8,4,456297.26,11,1
10,4,5,1374310.36,9,1
2,2,4,964097.33,4,1
5,3,4,1557928.17,8,1
9,2,6,496902.01,21,0
3,2,4,50000.0,18,1
9,2,2,1008104.71,25,0
6,3,2,706135.78,10,1
4,0,4,985543.14,19,0
7,1,4,727344.54,17,1
8,2,1,1285757.26,16,1
6,7,3,718134.0,10,1
5,1,3,923306.11,9,0
6,4,3,1045664.58,14,1
5,1,2,881975.73,7,1
8,3,3,1083106.3,22,1
1,3,2,969721.32,1,1
7,1,5,789549.29,17,1
10,2,3,960262.5,22,0
10,7,4,763616.1,5,1
2,4,0,666788.34,4,1
9,2,4,1010660.57,9,1
1,3,3,1734143.81,17,1
10,2,1,924118.41,22,0
6,6,4,884596.93,16,1
9,4,2,559943.82,13,1
1,4,5,739909.75,15,0
4,3,4,668216.68,15,1
4,2,0,1063531.03,15,1
9,4,2,861095.44,2,1
5,2,3,1426040.05,8,1
5,0,2,421744.09,23,0
6,3,5,700732.33,24,1
1,1,2,590801.21,7,1
1,2,3,50000.0,9,1
9,1,1,289058.98,13,0
3,5,3,696600.16,20,1
4,6,2,870768.69,18,1
1,2,4,896293.96,8,1
9,4,3,1005250.28,1,1
8,1,3,360810.15,18,0
2,3,3,555655.7,13,0
8,1,5,1172801.63,21,0
7,2,3,1233222.65,11,1
6,3,0,1191879.23,11,1
1,5,6,905403.82,9,1
7,3,2,170825.6,16,0
10,2,1,1316208.38,6,1
7,2,3,448599.35,21,0
9,3,3,1115135.56,22,1
1,4,4,629926.53,16,1
2,2,1,842445.26,24,0
9,2,2,481542.14,22,1
9,0,0,744503.34,7,1
6,3,1,370606.99,22,0
6,1,1,443602.09,3,1
4,3,3,573567.25,11,1
4,2,0,55114.13,23,0
5,3,1,504206.14,13,1
3,3,1,236395.77,19,0
1,5,3,396902.81,1,1
1,3,3,366738.35,21,0
7,1,3,1366387.35,3,1
1,1,3,232673.02,24,0
1,0,3,831059.23,14,0
3,2,2,965543.02,22,0
10,2,5,723682.17,14,1
4,0,3,1089258.49,3,1
4,0,3,596934.41,25,0
2,1,1,858307.8,5,1
1,3,4,766219.59,22,1
3,5,6,595674.27,25,1
4,3,2,1035326.29,2,1
3,2,7,772373.16,2,0
8,1,1,726154.02,17,0
10,5,0,289876.04,9,1
1,1,2,652853.52,25,0
2,1,2,735757.17,15,1
7,4,3,1360029.09,10,1
4,5,4,583808.65,8,1
8,3,7,1140089.17,4,1
3,5,1,757773.74,23,0
6,3,5,396836.68,19,0
9,4,3,1312825.35,15,1
1,1,3,840627.52,11,0
1,3,2,485953.15,4,1
8,5,2,1064606.74,8,1
3,0,4,1406244.74,11,1
5,3,4,310733.66,20,1
1,3,2,1132467.84,10,0
5,3,4,235930.31,25,0
6,2,1,108582.01,2,1
8,5,1,241234.93,11,1
3,2,4,713866.62,13,1
3,0,2,952948.46,1,1
10,3,2,601755.38,10,1
9,3,1,371546.24,6,1
4,1,1,930279.38,13,0
4,3,3,871064.18,6,1
7,3,1,799425.98,22,0
2,2,6,1148831.6,10,1
8,5,6,822499.44,2,1
6,0,2,1318349.51,12,1
3,4,1,50000.0,1,1
9,1,3,268527.03,2,1
5,3,6,1180461.62,12,1
8,3,3,50000.0,8,1
7,3,1,1143921.63,20,0
8,1,3,1237349.78,7,0
7,2,2,645088.55,1,1
3,1,3,976050.61,4,1
2,1,2,768771.19,21,0
7,3,4,913173.31,23,1
3,3,2,152164.85,7,1
3,2,3,1102489.75,5,1
2,3,1,570649.82,16,1
4,4,3,333444.94,14,1
8,3,5,114822.86,22,0
1,0,3,707819.12,12,1
1,3,3,634011.31,3,1
5,2,8,674510.92,3,1
5,5,4,621870.61,20,1
1,1,4,339397.09,5,1
6,1,3,1417514.18,9,1
1,2,4,676138.26,8,1
5,2,5,1176808.8,17,1
9,1,3,435792.12,24,0
5,5,3,1877049.48,7,1
6,4,4,1098833.91,13,1
8,1,2,1441974.52,6,1
1,4,3,1282306.49,13,1
2,3,4,988096.4,15,1
9,3,2,919169.27,11,1
3,1,5,684622.41,22,0
6,2,4,919610.66,22,1
5,2,2,511931.17,2,0
2,4,2,1028875.39,11,1
7,1,2,328476.76,22,0
4,1,5,939250.8,9,1
1,0,2,544449.95,24,0
4,2,2,1262174.75,23,0
6,2,4,301532.88,20,1
7,2,4,198543.43,14,1
7,1,3,903581.33,9,1
7,6,4,309925.67,7,1
3,2,3,845514.3,2,1
6,0,2,1136925.21,3,1
8,1,1,808576.05,9,0
4,4,3,395591.37,25,0
8,4,2,502766.9,17,1
2,1,4,1095082.9,10,0
10,2,5,898856.99,14,0
9,1,3,631968.13,14,0
9,4,5,1100703.41,1,1
8,1,4,277619.98,12,0
10,4,3,1160409.99,3,1
10,3,6,1094753.94,25,0
1,3,1,404864.23,18,0
2,1,6,862565.87,25,0
6,2,2,614083.14,7,0
10,3,1,1250759.82,13,0
5,4,5,1534557.98,7,1
9,5,3,143942.65,3,1
5,1,2,875127.59,11,1
2,2,1,698917.16,7,1
10,3,3,446970.84,15,1
4,3,3,414529.48,23,0
9,4,0,684763.54,24,0
1,0,4,506347.86,15,0
1,3,2,1209895.71,1,1
7,1,1,1103492.3,23,0
3,3,8,676945.59,4,1
10,0,2,852315.95,11,1
2,4,4,639897.69,10,1
9,1,2,650159.37,13,1
3,5,2,543000.26,23,0
2,4,0,204346.72,11,0
8,1,2,1005410.61,11,1
10,2,2,249592.82,23,0
6,1,2,809395.58,3,1
6,2,2,576619.33,14,0
10,3,3,1389002.05,23,1
7,1,1,1044111.86,14,1
7,2,0,560513.57,21,0
6,1,5,848283.07,16,1
4,2,1,155804.31,13,1
9,3,0,584135.43,19,0
6,2,1,511200.93,14,0
4,2,1,1220708.86,18,0
3,1,0,451958.14,16,1
4,3,7,674469.99,7,1
3,4,5,1127665.45,3,1
2,3,2,610593.12,3,1
5,3,4,861488.7,5,1
2,3,5,1144540.68,5,0
6,2,2,707280.5,13,1
3,3,2,548941.77,18,0
6,4,4,1096038.63,23,1
10,4,3,817411.33,8,1
9,1,2,729401.76,2,1
1,1,4,858694.83,4,1
6,2,5,729075.38,22,1
9,3,7,50000.0,1,1
4,3,2,490668.39,18,0
2,2,3,924546.95,7,1
4,5,2,160525.31,9,1
1,2,4,753122.61,13,1
3,5,3,1329995.34,21,1
10,3,4,851025.64,20,0
9,3,2,440473.61,10,0
10,1,3,877631.65,17,0
5,2,1,50000.0,19,1
6,2,1,766441.39,2,1
3,3,2,1493431.8,13,1
5,1,3,1016409.44,13,1
8,3,3,755881.02,12,1
6,3,4,845811.38,5,1
4,3,3,1305768.83,13,0
2,2,2,381331.66,7,1
9,3,2,746266.37,6,1
1,4,4,1078097.88,8,1
1,1,4,50000.0,10,1
4,2,3,1062663.08,25,0
7,1,4,707594.26,10,1
1,4,3,772513.07,4,1
9,5,1,736909.22,12,1
4,5,2,1459272.53,21,1
3,3,3,709265.65,13,0
1,1,3,1225068.31,19,1
10,4,4,577510.41,21,0
4,3,2,254723.88,7,1
9,1,4,1178965.27,12,1
10,2,1,839849.81,10,1
6,2,1,500526.27,24,0
6,3,4,253718.19,6,1
1,1,2,1634428.66,4,1
10,7,4,728852.37,24,1
2,2,1,975358.51,14,1
6,1,2,515939.47,8,1
2,4,4,852350.31,17,1
3,1,5,1387143.9,13,1
4,3,2,712081.17,22,1
5,2,1,740371.79,25,0
9,6,3,1466411.24,19,1
4,1,1,50000.0,18,0
9,3,4,459124.15,6,1
10,2,1,753945.45,18,0
3,6,3,641287.12,23,1
8,1,3,960339.48,24,0
1,1,2,796854.05,15,1
9,5,5,582496.58,5,1
9,5,2,1149379.23,23,0
10,3,6,538379.62,5,1
2,4,1,1053736.16,9,1
4,1,3,600635.4,7,1
8,4,6,839069.4,1,1
7,5,3,1391405.25,15,1
1,2,4,632186.86,12,0
5,2,1,1200801.96,12,1
7,1,3,426277.43,5,1
4,0,4,589765.17,13,0
1,2,2,715205.02,6,0
9,3,4,730199.38,10,1
5,2,3,1151402.01,8,1
2,2,4,1038267.59,23,0
8,1,3,1406876.28,16,1
2,1,2,974148.5,21,0
3,4,6,1593646.89,13,1
10,1,2,1234376.53,24,0
1,2,4,856893.09,9,0
2,1,3,1329942.77,2,1
7,2,3,913758.34,17,1
10,2,2,976674.26,25,1
2,3,5,780197.43,17,1
6,1,1,733962.93,12,0
3,2,5,561307.94,25,0
4,1,2,576505.01,24,0
8,0,6,445908.86,18,0
3,3,2,799010.34,22,0
10,6,1,377365.35,24,0
6,4,6,815104.56,13,1
1,4,1,713043.68,4,1
7,3,4,303020.5,11,1
8,0,4,1126086.71,1,1
8,2,2,880026.4,3,1
3,0,5,715974.25,8,1
10,2,5,499890.54,24,1
1,4,1,781171.85,22,0
9,4,4,958575.37,4,1
6,3,5,813946.3,13,1
9,1,8,900621.21,14,1
7,0,3,1344420.05,20,1
1,5,0,225268.28,22,0
1,1,1,50000.0,15,1
6,0,4,530181.82,2,1
5,1,1,50000.0,21,0
9,1,3,588701.16,10,1
2,3,1,604502.03,5,1
8,1,4,1860537.34,9,1
5,1,1,818445.44,14,0
2,3,1,50000.0,7,1
10,2,3,394571.4,22,0
6,4,2,1210839.62,3,1
10,2,2,1150743.76,11,1
8,2,2,840264.82,13,0
4,1,1,725408.58,24,0
2,3,3,1102187.43,21,1
5,1,3,1441906.98,14,1
2,1,3,50000.0,11,1
2,1,7,470198.28,3,0
6,4,1,522312.82,22,1
10,2,3,642284.42,3,1
9,3,1,1125620.46,10,1
4,1,7,250773.6,23,0
6,2,4,151057.03,8,0
7,3,3,448980.66,3,1
6,4,4,711509.15,8,1
8,3,5,1023749.91,15,0
4,6,6,818594.2,24,1
1,4,3,1321777.7,16,0
7,3,0,1819453.82,16,1
3,4,7,900233.52,6,1
6,3,3,1211758.18,5,0
2,0,4,1011461.22,12,1
9,3,3,744036.73,19,0
1,4,1,666448.88,21,0
6,2,1,1011402.7,14,1
6,3,7,783282.97,21,1
5,6,3,740323.59,24,1
5,1,3,550729.89,7,1
1,3,4,1500292.18,11,1
10,2,1,883537.68,14,1
5,2,3,712906.28,6,1
2,1,1,1187572.33,4,1
7,4,4,1143611.31,17,1
3,3,4,620775.87,7,1
4,5,3,293722.07,12,1
3,2,4,628754.46,3,1
3,1,4,259001.77,9,0
4,1,3,1257010.79,9,0
5,1,4,50000.0,12,1
1,4,1,787200.38,15,1
4,3,1,669178.82,4,1
8,3,0,696294.94,10,1
10,3,2,1153738.59,24,1
7,5,6,930890.19,25,1
9,4,4,139099.77,9,1
5,1,3,1340219.9,13,0
10,0,1,400363.22,14,1
4,2,2,236428.19,1,1
8,1,1,872510.75,17,1
9,6,4,50000.0,7,1
7,3,3,1269818.89,9,1
7,2,4,81088.09,12,0
5,3,2,678595.18,25,0
4,2,7,586552.72,11,1
10,1,4,1176629.03,2,1
1,4,1,1123472.86,5,1
10,4,3,337018.4,18,0
10,1,2,1312601.2,20,1
7,3,3,277430.12,24,0
1,4,8,711585.18,4,1
1,1,2,841568.16,21,0
5,0,3,1064151.7,14,0
9,2,4,1236215.86,6,1
6,3,2,759453.18,25,0
3,3,7,179396.38,10,1
3,1,3,554513.71,20,0
7,2,2,285060.76,1,1
6,1,0,803811.4,10,1
9,3,4,668657.17,7,1
6,3,5,1403659.13,2,1
5,1,1,1189583.23,4,1
10,1,1,1518036.59,16,0
7,4,5,1082293.97,12,1
1,3,7,855646.37,4,1
7,4,1,858401.79,15,1
3,4,2,571823.37,2,1
9,4,2,567324.64,20,0
6,1,4,652730.24,10,0
9,1,3,1440416.01,20,1
5,1,2,474161.68,22,1
7,3,5,1073391.4,7,1
4,3,2,279135.5,5,1
7,2,3,720597.72,9,1
1,2,0,764445.57,19,0
7,1,2,908297.02,1,1
8,7,1,1015692.02,13,1
5,5,1,593683.85,21,1
2,2,6,1104513.85,21,1
5,2,2,446924.76,17,1
6,2,3,535983.71,20,1
2,1,2,569492.89,2,1
6,2,6,674140.64,3,1
6,3,4,568365.44,25,1
1,2,3,320292.17,16,1
1,4,3,1048395.78,20,0
10,4,3,400005.38,3,1
3,3,1,1135494.53,25,0
10,2,5,1123452.94,9,1
10,4,4,187449.39,5,1
3,1,3,1007779.24,25,0
4,4,3,786721.46,18,0
2,5,3,379801.5,15,0
9,1,3,669305.76,5,1
10,2,4,1025422.9,1,1
7,1,4,1278479.58,19,1
7,3,4,418092.27,17,1
6,5,5,1140055.95,12,1
3,2,1,656114.83,24,0
